Date,Open,High,Low,Close,Adj Close,Volume
2022-03-16,320.670013,325.459991,315.540009,324.910004,311.337280,3473100
2022-03-17,338.899994,344.459991,318.329987,319.500000,306.153198,4661600
2022-03-18,321.869995,324.480011,316.510010,323.950012,310.417328,7566200
2022-03-21,323.369995,326.350006,320.920013,324.500000,310.944397,2290500
2022-03-22,324.000000,328.750000,323.260010,327.470001,313.790283,2022800
2022-03-23,325.000000,327.179993,320.290009,320.500000,307.111481,1837500
2022-03-24,320.359985,325.420013,320.000000,325.290009,311.701355,1430400
2022-03-25,327.579987,329.510010,324.260010,327.709991,314.020325,1814000
2022-03-28,326.579987,330.890015,325.329987,330.739990,316.923706,1984400
2022-03-29,339.000000,341.059998,337.000000,340.690002,326.458008,2223000
2022-03-30,336.570007,340.709991,336.480011,338.459991,324.321228,1721600
2022-03-31,337.500000,343.750000,337.230011,337.230011,323.142578,2752600
2022-04-01,338.589996,341.299988,336.350006,340.640015,326.410156,2090300
2022-04-04,341.989990,344.760010,340.049988,344.470001,330.080170,2317500
2022-04-05,341.500000,345.299988,341.500000,342.820007,328.499146,3058100
2022-04-06,338.290009,341.929993,334.540009,340.260010,326.046051,2299000
2022-04-07,338.989990,344.809998,337.809998,341.769989,327.492950,2313100
2022-04-08,342.429993,344.299988,338.269989,338.920013,324.762024,2170000
2022-04-11,336.100006,337.420013,324.859985,327.269989,313.598663,2445400
2022-04-12,329.730011,333.950012,326.250000,326.730011,313.081268,1835000
2022-04-13,324.339996,327.350006,323.239990,325.589996,312.917755,2081400
2022-04-14,326.880005,328.279999,319.290009,319.470001,307.036072,2964800
2022-04-18,318.519989,321.000000,310.829987,313.600006,301.394501,2479300
2022-04-19,312.709991,320.799988,312.149994,320.570007,308.093231,1758200
2022-04-20,324.029999,328.380005,322.619995,323.670013,311.072571,2273600
2022-04-21,326.190002,330.320007,321.339996,322.309998,309.765503,1910200
2022-04-22,321.019989,323.839996,310.309998,310.799988,298.703430,1906800
2022-04-25,309.390015,317.130005,306.239990,316.820007,304.489166,2049600
2022-04-26,311.619995,315.109985,302.100006,303.100006,291.303131,2101400
2022-04-27,302.980011,309.309998,302.380005,303.100006,291.303131,1821200
2022-04-28,308.160004,316.140015,305.619995,313.839996,301.625153,2215200
2022-04-29,310.000000,311.980011,299.799988,300.359985,288.669800,2972100
2022-05-02,300.459991,306.049988,297.250000,304.600006,292.744781,2528900
2022-05-03,306.679993,307.630005,302.709991,304.820007,292.956207,2121700
2022-05-04,303.149994,315.880005,300.809998,314.859985,302.605438,1900200
2022-05-05,310.709991,312.200012,294.609985,298.700012,287.074402,2231700
2022-05-06,295.649994,297.059998,289.709991,295.739990,284.229584,2477000
2022-05-09,290.660004,292.489990,285.859985,287.489990,276.300690,2584100
2022-05-10,290.000000,292.399994,283.750000,287.589996,276.396790,2634600
2022-05-11,285.730011,288.489990,280.459991,280.940002,270.005707,2398600
2022-05-12,278.000000,281.660004,274.790009,281.209991,270.265137,2284600
2022-05-13,283.040009,288.670013,280.989990,286.769989,275.608673,2373600
2022-05-16,284.679993,288.970001,282.049988,286.170013,275.032074,1598000
2022-05-17,294.679993,294.679993,288.200012,291.070007,279.741394,1598000
2022-05-18,286.869995,287.250000,272.420013,274.160004,263.489502,2666000
2022-05-19,270.149994,278.000000,269.700012,273.609985,262.960907,2679500
2022-05-20,275.579987,278.399994,268.170013,276.649994,265.882599,3007800
2022-05-23,281.279999,283.929993,276.160004,283.390015,272.360260,2128900
2022-05-24,279.820007,281.029999,273.049988,279.309998,268.439117,2088700
2022-05-25,278.329987,281.339996,275.239990,279.640015,268.756256,1812600
2022-05-26,282.440002,292.880005,281.109985,291.549988,280.202667,2742800
2022-05-27,293.440002,304.170013,293.440002,304.149994,292.312286,2759000
2022-05-31,302.399994,303.320007,296.700012,298.459991,286.843719,4143700
2022-06-01,304.130005,306.709991,297.380005,298.649994,287.026398,1784600
2022-06-02,299.959991,306.760010,297.880005,306.619995,294.686157,1318500
2022-06-03,302.299988,306.820007,301.920013,304.950012,293.081177,1714500
2022-06-06,310.000000,312.320007,303.769989,304.730011,292.869690,1401000
2022-06-07,300.429993,306.890015,300.410004,306.529999,294.599731,2311100
2022-06-08,305.000000,307.410004,301.730011,302.640015,290.861084,1428600
2022-06-09,300.649994,302.619995,294.750000,295.429993,283.931732,2497900
2022-06-10,290.890015,291.220001,285.980011,286.010010,274.878326,2169900
2022-06-13,276.660004,281.309998,274.859985,276.500000,265.738403,2414200
2022-06-14,274.649994,277.250000,272.609985,275.119995,264.412170,2052600
2022-06-15,276.980011,285.850006,276.100006,281.190002,270.245941,2536000
2022-06-16,275.350006,275.399994,269.089996,270.899994,260.356354,2741800
2022-06-17,272.609985,278.589996,270.929993,275.380005,264.662109,4446100
2022-06-21,278.149994,284.309998,277.670013,282.730011,271.725983,2550200
2022-06-22,279.089996,290.359985,279.089996,286.399994,275.253143,2939000
2022-06-23,276.000000,286.279999,275.000000,285.829987,274.705322,3482100
2022-06-24,285.410004,299.609985,284.970001,299.369995,287.718323,4647900
2022-06-27,298.940002,301.000000,291.640015,292.619995,281.231049,2107500
2022-06-28,293.089996,296.529999,283.489990,283.799988,272.754364,2167500
2022-06-29,278.420013,281.149994,275.250000,279.809998,268.919678,2405800
2022-06-30,277.329987,280.660004,275.320007,277.649994,266.843750,2562200
2022-07-01,277.579987,282.369995,276.279999,280.649994,269.726929,2400200
2022-07-05,276.279999,276.410004,269.679993,275.170013,264.460236,3181300
2022-07-06,277.959991,279.209991,274.959991,275.940002,265.200256,2260300
2022-07-07,277.260010,279.760010,274.410004,279.399994,268.525604,2169100
2022-07-08,277.649994,279.809998,275.179993,279.070007,268.208435,1987600
2022-07-11,276.769989,278.040009,273.320007,274.869995,264.171906,1850000
2022-07-12,274.600006,279.290009,272.440002,273.670013,263.018585,2280400
2022-07-13,268.200012,275.100006,267.329987,272.170013,262.507416,2185200
2022-07-14,268.510010,270.000000,261.769989,268.670013,259.131622,1877700
2022-07-15,272.100006,272.850006,266.859985,271.519989,261.880493,1741100
2022-07-18,273.000000,275.299988,267.989990,268.649994,259.112335,2048900
2022-07-19,272.390015,280.500000,271.739990,280.040009,270.098022,1942100
2022-07-20,280.000000,283.660004,279.450012,281.660004,271.660492,2158500
2022-07-21,281.179993,288.230011,280.760010,288.010010,277.785034,1546800
2022-07-22,287.500000,291.079987,285.799988,288.010010,277.785034,1502400
2022-07-25,288.239990,289.559998,285.450012,289.290009,279.019653,1354700
2022-07-26,287.910004,288.709991,283.660004,285.179993,275.055481,1710700
2022-07-27,288.839996,299.510010,287.950012,297.529999,286.967072,1821500
2022-07-28,296.980011,304.500000,294.769989,303.679993,292.898743,1845400
2022-07-29,304.529999,307.760010,302.920013,306.260010,295.387146,1868000
2022-08-01,302.529999,306.779999,301.040009,304.739990,293.921112,1425700
2022-08-02,302.380005,306.579987,299.410004,302.480011,291.741333,1772100
2022-08-03,302.079987,309.410004,301.619995,308.170013,297.229340,1359800
2022-08-04,309.190002,310.809998,307.399994,310.609985,299.582703,1624600
2022-08-05,304.869995,309.589996,304.309998,309.350006,298.367462,1504500
2022-08-08,310.500000,312.809998,308.519989,310.329987,299.312622,1604700
2022-08-09,308.100006,311.079987,307.820007,309.790009,298.791840,1761100
2022-08-10,315.000000,317.769989,314.369995,316.480011,305.244293,1474800
2022-08-11,317.750000,319.869995,313.790009,314.420013,303.257416,1570100
2022-08-12,316.760010,320.940002,314.440002,320.440002,309.063690,1774400
2022-08-15,317.679993,320.959991,317.589996,320.329987,308.957611,1125300
2022-08-16,318.190002,322.880005,318.119995,320.779999,309.391602,1596000
2022-08-17,317.420013,320.329987,315.630005,318.450012,307.144379,1505900
2022-08-18,319.000000,320.859985,316.420013,319.459991,308.118500,1386200
2022-08-19,316.899994,317.750000,313.570007,315.290009,304.096619,1672500
2022-08-22,309.329987,312.850006,308.510010,310.000000,298.994354,1648100
2022-08-23,308.079987,311.269989,306.500000,306.700012,295.811523,1217900
2022-08-24,306.679993,307.980011,303.859985,306.260010,295.387146,1695500
2022-08-25,307.119995,310.690002,305.880005,309.769989,298.772491,1722900
2022-08-26,309.829987,309.910004,298.000000,298.130005,287.545776,1701600
2022-08-29,295.000000,297.869995,293.200012,295.140015,284.661926,1662800
2022-08-30,297.540009,298.000000,289.670013,292.500000,282.115631,1661100
2022-08-31,294.649994,295.920013,287.429993,288.459991,278.219086,2455000
2022-09-01,287.799988,289.029999,284.130005,288.790009,278.537354,2021400
